ID,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGLO,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_amide,fr_benzene,fr_ester,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond
1,11.1912622826909,-1.34347222222222,11.1912622826909,0.66537037037037,0.522491224882729,154.121,148.07299999999998,154.026608672,58,0.33911930437974497,-0.5042413230638499,0.5042413230638499,0.33911930437974497,1.27272727272727,2.09090909090909,2.7272727272727297,12.7043274076143,-0.09132526426788,-2.19337288962801,-2.1050970066854298,2.22002661546955,-0.763757599907326,3.67661231894661,462.412520706195,13.162772227887,11.1329931618555,5.13299316185545,7.98879962504307,5.29124145231932,2.56649658092773,1.6957057690291297,1.6957057690291297,1.00094599343851,1.00094599343851,0.52130633005259,0.52130633005259,-1.71,2.7309251955115803,2.49436282477872,1.23598628827336,71.030402365914,15.3264245733216,5.563451491697,11.4990236665678,0.0,4.293598971697899,5.969305287951849,0.0,4.79453718407182,6.0424187076633,12.0848374153266,0.0,4.11227566851066,24.233237425904104,5.969305287951849,4.293598971697899,0.0,0.0,0.0,0.0,23.6907076146869,11.4990236665678,0.0,11.4990236665678,24.158129175738804,0.0,14.4702643442795,18.1272561229899,0.0,1.43119965723263,77.76,41.1590365692065,4.79453718407182,0.0,15.3264245733216,8.405874640208559,41.904759070294794,11.1912622826909,11.608163265306098,-0.709953703703703,-2.71416666666667,-2.11339758125472,0.0,0.0,0.0,11,3,4,0,0,1,1,4,3,4,3,0,0,1,0.7959999999999999,36.7309,0,0,2,1,1,1,0,0,0,0,0,0,1,0,1,2,1
2,12.228675831443699,-3.43612882653061,12.228675831443699,0.586754535147393,0.52262365901634,211.173,202.101,211.04807238799998,80,0.32248056858096,-0.504242102133204,0.504242102133204,0.32248056858096,1.4,2.2,2.86666666666667,12.6091178090255,-0.165337119007766,-2.34538321682561,-2.62628960297169,1.8107943463323999,-0.798781174442783,3.59069859100666,682.108345641389,18.817472766266302,15.988455047819299,6.9884550478192695,11.054183765945302,7.63979278855116,3.4678343216596206,2.2244651311875896,2.2244651311875896,1.25942135794882,1.25942135794882,0.680483301922538,0.680483301922538,-2.24,3.7268982482699,4.3166411005600205,2.59927517346609,97.74463901110079,20.63623792661,6.496859684315949,12.910865744896,0.0,10.200778701049401,5.969305287951849,9.58907436814364,0.0,6.0424187076633,12.0848374153266,0.0,12.417244272548098,33.1811338006446,11.8764850173034,4.293598971697899,5.30981335328838,0.0,0.0,6.496859684315949,23.6907076146869,11.4990236665678,5.30981335328838,11.4990236665678,36.562168589406205,4.79453718407182,17.2117814566199,18.1272561229899,1.4118420783282,1.43119965723263,106.86,58.872889336162395,9.58907436814364,0.0,15.3264245733216,12.559233830877199,64.6339305135635,23.387495879524604,10.8197018822961,-1.05101332199546,-5.49072578105316,-2.7799270124716604,0.0,-3.43612882653061,0.111111111111111,15,4,6,0,0,1,1,5,4,6,5,0,0,1,-0.0878,49.7406,1,0,2,1,1,2,1,0,1,0,0,1,1,0,1,2,2
3,12.627825491307599,-3.81633715986395,12.627825491307599,0.758837868480725,0.442264295113675,241.199,230.111,241.058637072,92,0.328131145479805,-0.504242102130043,0.504242102130043,0.328131145479805,1.3529411764705903,2.17647058823529,2.82352941176471,11.8124154770255,-0.16635824278512398,-2.4711168360989504,-2.74699814010553,1.31408755275673,-0.9929355095509058,3.77178941412517,791.8603291557359,22.024579547452802,18.896703338283103,7.89670333828314,12.8648439377251,9.00216522424696,3.92195846689155,2.56333060267854,2.56333060267854,1.51405971276903,1.51405971276903,0.795744364766716,0.795744364766716,-2.28,4.18865030511623,5.17069393718043,2.8488357209716297,111.800426136156,25.745046117717198,0.0,18.9287582132457,1.43119965723263,10.200778701049401,5.969305287951849,4.79453718407182,4.79453718407182,6.0424187076633,12.0848374153266,0.0,20.346988071634602,39.660700547922,11.8764850173034,5.72479862893054,5.30981335328838,0.0,6.0178924683496495,6.55898524291629,23.6907076146869,11.4990236665678,5.30981335328838,11.4990236665678,49.182194464695996,4.79453718407182,18.5825400127901,18.1272561229899,1.4118420783282,1.43119965723263,127.09,64.9529073631124,9.58907436814364,0.0,20.4352327644288,15.3611920442801,80.1275264812715,24.3765760949441,14.3064218658142,-1.2051516439909298,-6.155680245863779,-6.89476223282523,0.0,-3.72159698601663,0.2,17,5,7,0,0,1,1,6,5,7,7,0,0,1,-0.7269,55.7474,1,1,2,1,1,2,1,0,1,0,0,1,1,0,1,2,2
4,12.854441137566099,-4.10279549319728,12.854441137566099,0.884462868480725,0.46834630630563495,255.226,242.122,255.07428713599998,98,0.32842641125633,-0.5042421021300371,0.5042421021300371,0.32842641125633,1.33333333333333,2.1666666666666696,2.77777777777778,11.3094003464185,-0.244568318937391,-2.5490900414947597,-2.77875244713479,1.28151935028629,-1.0619969295154799,3.9178830552512003,880.7307346741319,24.524579547452802,21.396703338283103,8.396703338283139,14.1148439377251,10.252165224247,4.1719584668915495,2.7903926752945094,2.7903926752945094,1.6324614122065202,1.6324614122065202,0.8747262507934459,0.8747262507934459,-2.28,4.12951730666274,5.3678377306090095,2.8889623507805298,120.975309250888,25.745046117717198,0.0,18.9287582132457,1.43119965723263,10.200778701049401,5.969305287951849,4.79453718407182,4.79453718407182,6.0424187076633,18.9367295326223,4.11227566851066,18.497262299498104,42.4022176602625,11.8764850173034,5.72479862893054,5.30981335328838,0.0,18.9498026125953,0.0,23.6907076146869,11.4990236665678,5.30981335328838,11.4990236665678,48.7032272487297,4.79453718407182,28.1759492424263,18.1272561229899,1.4118420783282,1.43119965723263,127.09,71.3258322644417,9.58907436814364,0.0,20.4352327644288,18.1027091566205,95.9875176498069,24.919858407869302,14.3455480232216,-1.30506660997732,-6.593665451520111,-7.379506697740831,-4.03409698601663,-3.8572550023095697,0.272727272727273,18,5,7,0,0,1,1,6,5,7,8,0,0,1,-0.3384,60.3424,1,1,2,1,1,2,1,0,1,0,0,1,1,0,1,2,2
5,11.108779289493599,-1.31087962962963,11.108779289493599,0.6307586923658349,0.610258505858026,138.122,132.07399999999998,138.031694052,52,0.338969087360731,-0.507052890945198,0.507052890945198,0.338969087360731,1.4,2.2,2.9,11.839697253014801,-0.092696585046483,-2.18318659956938,-2.10993830219217,2.17536662254386,-0.749956115074254,3.63827652562796,446.483683301615,12.455665446700499,10.7247448713916,4.724744871391589,7.45079482258229,5.17886901662352,2.3623724356957903,1.4915816237972,1.4915816237972,0.85721725415588,0.85721725415588,0.44475977559061497,0.44475977559061497,-1.51,2.2684779108030497,2.38963270744379,1.07489362298405,66.14949835559071,10.2176163822144,11.3129633249809,0.0,0.0,2.86239931446527,5.969305287951849,0.0,4.79453718407182,12.0848374153266,12.0848374153266,0.0,5.48303422468088,20.4951877909671,5.969305287951849,2.86239931446527,0.0,0.0,0.0,0.0,29.7331263223502,5.74951183328391,0.0,5.74951183328391,17.6181213273989,0.0,15.841022900449701,24.1696748306532,0.0,1.43119965723263,57.53,41.4519434435859,4.79453718407182,0.0,10.2176163822144,8.34543353914615,42.2923138699924,11.108779289493599,7.58003590325019,-0.67037037037037,-1.97453703703704,-2.66955498866213,0.0,0.0,0.0,10,2,3,0,0,1,1,3,2,3,2,0,0,1,1.0904,35.0661,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0
6,14.637925660943502,-6.0272007512246395,14.637925660943502,1.5413090477967502,0.030202443621445,782.8890000000019,724.425,782.4061859160021,310,0.32834712729045196,-0.46381889165758095,0.46381889165758095,0.32834712729045196,0.672727272727273,1.12727272727273,1.5272727272727298,2.4158578008706305e-15,-0.245985430010183,-2.6954743457587798,-2.90318087059488,6.16536940984366e-17,-1.0493768695675898,4.62962153149519,3760.8999585995703,91.7122958017222,83.99050934903,25.99050934903,49.06486775795529,41.1356451691254,12.6999765258061,7.97500149386001,7.97500149386001,4.387932074723779,4.387932074723779,2.27348692946173,2.27348692946173,-4.69,10.427668365766301,25.400946302220103,18.465860573121603,402.691881583733,30.4740157734417,18.053677405048898,2.8236841566564,24.8775374742177,17.7215391880545,5.969305287951849,44.39582456756229,19.984190358967897,16.7193135902078,71.5390755625221,116.200441049412,31.2326392539802,141.170810580684,41.4123836640609,2.86239931446527,30.7091896123233,0.0,102.817569986196,46.1433616819789,34.8755288283145,0.0,10.6196267065768,0.0,154.407602816646,38.298623242302796,154.672578945828,34.8755288283145,7.1172831283543,0.0,266.89,255.958033772874,33.5617602885028,0.0,30.5830807991459,79.8883688075008,474.58000059925,96.5193110636968,9.35840248298659,-8.038352022681941,-23.399254312892698,-24.9906458058966,-47.842842447593796,-53.7699528902012,0.6388888888888891,55,7,19,1,1,0,0,13,7,19,34,1,1,1,0.34750000000000897,194.546499999999,0,2,0,0,0,7,7,4,2,0,6,6,0,1,0,0,0
6_ChEBI,14.2042709750767,-5.464974260410809,14.2042709750767,1.51527177504344,0.029440429862605,726.825000000002,672.393,726.379971168002,288,0.322415674515778,-0.46419228987453104,0.46419228987453104,0.322415674515778,0.7058823529411759,1.13725490196078,1.52941176470588,1.85736876214899e-15,-0.245967122630224,-2.6954714914602,-2.9031809035885203,4.6720591747898e-17,-1.05106824713534,4.33930052950316,3436.06493037864,85.1349455325326,78.08226105856609,24.082261058566104,45.731534424622005,38.1287346193934,11.798638785074198,7.33443873282656,7.33443873282656,3.9612347851812797,3.9612347851812797,2.0247528912104498,2.0247528912104498,-4.2,9.66174886621315,24.068252322451603,18.0344479930378,373.51182143111396,31.2938230183175,20.8773615617053,2.8236841566564,18.9703577448662,17.7215391880545,5.969305287951849,44.39582456756229,15.189653174896,16.7193135902078,71.5390755625221,94.1481706948124,31.2326392539802,130.975406216247,35.5052039347094,2.86239931446527,25.8092798814728,5.71971697572627,95.96567786890041,39.1675347816967,34.8755288283145,0.0,16.339343682303,0.0,136.62468645616198,33.504086058231,139.596135491511,34.8755288283145,9.94096728501071,0.0,272.6,237.04294227082002,28.7672231044309,0.0,30.5830807991459,74.48750162713591,439.195013582939,83.46079714535999,9.759146896831721,-9.40352192855115,-19.16823596836,-23.822888883388902,-46.1906836351738,-42.5796272096568,0.6363636363636359,51,9,18,1,1,0,0,13,8,18,32,1,1,1,-0.17209999999999098,180.2899,0,2,0,0,0,6,6,3,2,1,6,5,0,1,0,0,0
7,14.235765272142,-5.58819612159501,14.235765272142,1.5245370736733201,0.028291172525336004,740.852000000002,684.404,740.395621232002,294,0.32262936599071895,-0.46418673651445097,0.46418673651445097,0.32262936599071895,0.711538461538462,1.15384615384615,1.55769230769231,1.04649512949467e-15,-0.246204822664221,-2.69547334583937,-2.9031808940020003,1.26873442359947e-17,-1.0539457688293299,4.448720074866539,3542.9753490133003,87.6349455325326,80.58226105856609,24.582261058566104,46.9428592900272,39.4051278216434,12.0222455828242,7.446242131701549,7.446242131701549,4.07303818405627,4.07303818405627,2.09834728738796,2.09834728738796,-4.2,9.71683651308096,24.891869852732395,17.8308734413917,382.838619400203,30.8839193958796,19.4655194833771,2.8236841566564,18.9703577448662,17.7215391880545,5.969305287951849,44.39582456756229,15.189653174896,16.7193135902078,78.5149024628043,98.260446363323,31.2326392539802,133.67583980643,35.5052039347094,2.86239931446527,31.1190932347612,0.0,95.96567786890041,46.1433616819789,34.8755288283145,0.0,15.929440059865101,0.0,143.600513356444,33.504086058231,143.708411160022,34.8755288283145,8.5291252066825,0.0,258.61,243.60886554866403,28.7672231044309,0.0,30.5830807991459,77.18793521731841,456.77837261088797,84.0322177969477,7.875886348708099,-7.837333784277459,-19.4919829584215,-24.273112214125298,-46.82502564833629,-47.7590221513835,0.647058823529412,52,8,18,1,1,0,0,13,8,18,33,1,1,1,0.08860000000000899,185.1622,0,2,0,0,0,6,6,3,3,0,6,5,0,1,0,0,0
8,11.1375689720333,-1.3302494331065802,11.1375689720333,0.6282123960695389,0.522491224882729,154.121,148.07299999999998,154.026608672,58,0.335322525644417,-0.504259584384276,0.504259584384276,0.335322525644417,1.27272727272727,2.0,2.6363636363636402,12.7748054396196,-0.088904758373462,-2.19321599106716,-2.11003706648276,2.17202014129466,-0.764573284501754,3.64084018579535,462.412520706195,13.162772227887,11.1329931618555,5.13299316185545,7.98879962504307,5.29124145231932,2.56649658092773,1.6957057690291297,1.6957057690291297,0.94991495713053,0.94991495713053,0.479639663385923,0.479639663385923,-1.71,2.7309251955115803,2.49436282477872,1.40294566225847,71.030402365914,15.3264245733216,0.0,11.4990236665678,0.0,4.293598971697899,5.969305287951849,0.0,4.79453718407182,0.0,18.1272561229899,0.0,9.67572716020766,24.233237425904104,5.969305287951849,4.293598971697899,0.0,0.0,0.0,0.0,23.6907076146869,11.4990236665678,0.0,11.4990236665678,24.158129175738804,0.0,14.4702643442795,18.1272561229899,0.0,1.43119965723263,77.76,41.1590365692065,4.79453718407182,0.0,15.3264245733216,8.405874640208559,41.9853283257748,11.1375689720333,11.568064531368101,-0.70087962962963,-2.62383219954649,-2.1995833333333303,0.0,0.0,0.0,11,3,4,0,0,1,1,4,3,4,3,0,0,1,0.7959999999999999,36.7309,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,2,2
9,11.158189720332599,-1.33648148148148,11.158189720332599,0.6632870370370371,0.558539139698867,154.121,148.07299999999998,154.026608672,58,0.335457307805646,-0.5077959490278621,0.5077959490278621,0.335457307805646,1.27272727272727,1.90909090909091,2.3636363636363598,12.7367785390307,-0.08291266901924,-2.19355683784728,-2.1087719148691,2.20217918259807,-0.7558060069837579,3.6515702742923497,431.162520706195,13.162772227887,11.1329931618555,5.13299316185545,7.98879962504307,5.29124145231932,2.56649658092773,1.6957057690291297,1.6957057690291297,0.9082482904638629,0.9082482904638629,0.5259885148732479,0.5259885148732479,-1.71,2.7309251955115803,2.49436282477872,1.60616945986883,71.030402365914,15.3264245733216,11.4990236665678,0.0,0.0,4.293598971697899,5.969305287951849,0.0,4.79453718407182,0.0,12.0848374153266,6.0424187076633,9.67572716020766,24.233237425904104,5.969305287951849,4.293598971697899,0.0,0.0,0.0,0.0,23.6907076146869,11.4990236665678,0.0,11.4990236665678,24.158129175738804,0.0,14.4702643442795,18.1272561229899,0.0,1.43119965723263,77.76,41.1590365692065,4.79453718407182,0.0,15.3264245733216,8.405874640208559,41.9901209372638,11.158189720332599,11.5488832199546,-0.70787037037037,-2.66305555555556,-2.15960128495843,0.0,0.0,0.0,11,3,4,0,0,1,1,4,3,4,3,0,0,1,0.7959999999999999,36.7309,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,2,2
