ID,Compounds,Microorganism,hydroxamate,catecholate,a-hydroxycarboxylate,carboxylate,phenolate,citrate,other,SMILES,validate smiles,SMARTS,SELFIES
81,coprogen,"Aspergillus nidulans, Aspergillus terreus, Magnaporthe grisea, Neurospora crassa, Penicillium chrysogenum, Suillus granulatus, Suillus luteus, Trichoderma hamatum, Trichoderma harzianum, Trichoderma koningii, Trichoderma longibrachiatum, Trichoderma pseudokoningii, Trichoderma viride",3,0,0,0,0,0,0,OCC/C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@H]1CCCN(O)C(=O)/C=C(C)/CCOC(=O)[C@@H](NC(=O)C)CCCN(O)C(=O)/C=C(C)\CCO,True,[#8]-[#6]-[#6]/[#6](-[#6])=[#6]\[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@H]1-[#7]-[#6](=[#8])-[#6@@H](-[#7]-[#6]-1=[#8])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8]-[#6](=[#8])-[#6@@H](-[#7]-[#6](=[#8])-[#6])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](/[#6])-[#6]-[#6]-[#8],[O][C][C][/C][Branch1][C][C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][Branch1][Ring2][N][C][=O][C][=Branch1][C][=O][N][C@H1][Ring1][=Branch1][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O][C][=Branch1][C][=O][C@@H1][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][\C][C][O]
82,coprogen B,"Magnaporthe grisea, Trichoderma hamatum, Trichoderma harzianum, Trichoderma koningii, Trichoderma longibrachiatum, Trichoderma pseudokoningii, Trichoderma viride",3,0,0,0,0,0,0,OCC\C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)/CCOC(=O)[C@@H](N)CCCN(O)C(=O)/C=C(C)/CCO,True,[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@H]1-[#7]-[#6](=[#8])-[#6@H](-[#7]-[#6]-1=[#8])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8]-[#6](=[#8])-[#6@@H](-[#7])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8],[O][C][C][\C][Branch1][C][C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][Branch1][Ring2][N][C][=O][C][=Branch1][C][=O][N][C@@H1][Ring1][=Branch1][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O]
83,corrugatin,Pseudomonas corrugata,0,0,2,0,0,0,0,CCCCCCCC(=O)N[C@H]([C@@H](O)c1c[nH]cn1)C2=NCC[C@H](N2)C(=O)N[C@@H](CCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@H]([C@@H](C(=O)O)O)C3=NCC[C@H](N3)C(=O)N[C@@H](C(=O)C)[C@@H](C(=O)O)O,True,[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#7]-[#6@H](-[#6@@H](-[#8])-[#6]1:[#6]:[#7H]:[#6]:[#7]:1)-[#6]1=[#7]-[#6]-[#6]-[#6@H](-[#7]-1)-[#6](=[#8])-[#7]-[#6@@H](-[#6]-[#6]-[#7])-[#6](=[#8])-[#7]-[#6@@H](-[#6]-[#8])-[#6](=[#8])-[#7]-[#6@@H](-[#6]-[#8])-[#6](=[#8])-[#7]-[#6@H](-[#6@@H](-[#6](=[#8])-[#8])-[#8])-[#6]1=[#7]-[#6]-[#6]-[#6@H](-[#7]-1)-[#6](=[#8])-[#7]-[#6@@H](-[#6](=[#8])-[#6])-[#6@@H](-[#6](=[#8])-[#8])-[#8],[C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][N][C@@H1][Branch1][C][O][C][=C][NH1][C][=N][Ring1][Branch1][C][=N][C][C][C@H1][Branch1][Ring2][N][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring2][C][C][N][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][O][C][=N][C][C][C@H1][Branch1][Ring2][N][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][C][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][O]
85,Corynebactin,Corynebacterium diphtheriae,0,0,0,1,0,2,0,OC(=O)C[C@@](C(O)=O)(O)CC(=O)N[C@H](C(=O)O)CCCCNC(=O)C[C@@](C(=O)O)(O)CC(O)=O,True,[#8]-[#6](=[#8])-[#6]-[#6@@](-[#6](-[#8])=[#8])(-[#8])-[#6]-[#6](=[#8])-[#7]-[#6@H](-[#6](=[#8])-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6@@](-[#6](=[#8])-[#8])(-[#8])-[#6]-[#6](-[#8])=[#8],[O][C][=Branch1][C][=O][C][C@@][Branch1][=Branch1][C][Branch1][C][O][=O][Branch1][C][O][C][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][C][C][N][C][=Branch1][C][=O][C][C@@][Branch1][=Branch1][C][=Branch1][C][=O][O][Branch1][C][O][C][C][Branch1][C][O][=O]
86,cupriachelin,Cupriavidus necator,1,0,2,1,0,0,0,CCCCCCCCCC(=O)N[C@@H]([C@H](O)C(O)=O)C(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@H](O)C(O)=O)C(=O)NCC(=O)N[C@H](C(O)=O)CCCN(O)C(=O)C[C@@H](O)C,True,[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#7]-[#6@@H](-[#6@H](-[#8])-[#6](-[#8])=[#8])-[#6](=[#8])-[#7]-[#6@@H](-[#6]-[#6]-[#7])-[#6](=[#8])-[#7]-[#6@@H](-[#6@H](-[#8])-[#6](-[#8])=[#8])-[#6](=[#8])-[#7]-[#6]-[#6](=[#8])-[#7]-[#6@H](-[#6](-[#8])=[#8])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])-[#6]-[#6@@H](-[#8])-[#6],[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C@H1][Branch1][C][O][C][Branch1][C][O][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring2][C][C][N][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C@H1][Branch1][C][O][C][Branch1][C][O][=O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][C][C@@H1][Branch1][C][O][C]
87,cyclic fusigen,"Aspergillus fumigatus, Aspergillus nidulans, Aureobasidium pullulans, Fusarium cubense, Penicillium chrysogenum, Suillus granulatus, Suillus luteus",3,0,0,0,0,0,0,ON1CCC[C@@H](N)C(=O)OCC/C(C)=C/C(=O)N(O)CCC[C@@H](N)C(=O)OCC/C(C)=C/C(=O)N(O)CCC[C@@H](N)C(=O)OCC/C(C)=C\C1=O,True,[#8]-[#7]1-[#6]-[#6]-[#6]-[#6@@H](-[#7])-[#6](=[#8])-[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@@H](-[#7])-[#6](=[#8])-[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@@H](-[#7])-[#6](=[#8])-[#8]-[#6]-[#6]/[#6](-[#6])=[#6]\[#6]-1=[#8],[O][N][C][C][C][C@@H1][Branch1][C][N][C][=Branch1][C][=O][O][C][C][/C][Branch1][C][C][=C][/C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][Branch1][C][N][C][=Branch1][C][=O][O][C][C][/C][Branch1][C][C][=C][/C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][Branch1][C][N][C][=Branch1][C][=O][O][C][C][/C][Branch1][C][C][=C][\C][Ring2][Ring2][P][=O]
88,Cyclic trichrisobactin,Dickeya chrysanthemi,0,3,0,0,0,0,0,Oc1cccc(c1O)C(=O)N[C@H](CCCCN)C(=O)N[C@@H]2C(=O)OC[C@H](NC(=O)[C@@H](CCCCN)NC(=O)c3cccc(O)c3O)C(=O)OC[C@@H](C(=O)OC2)NC(=O)[C@@H](CCCCN)NC(=O)c4cccc(O)c4O,True,[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:1-[#8])-[#6](=[#8])-[#7]-[#6@H](-[#6]-[#6]-[#6]-[#6]-[#7])-[#6](=[#8])-[#7]-[#6@@H]1-[#6](=[#8])-[#8]-[#6]-[#6@H](-[#7]-[#6](=[#8])-[#6@@H](-[#6]-[#6]-[#6]-[#6]-[#7])-[#7]-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:2-[#8])-[#6](=[#8])-[#8]-[#6]-[#6@@H](-[#6](=[#8])-[#8]-[#6]-1)-[#7]-[#6](=[#8])-[#6@@H](-[#6]-[#6]-[#6]-[#6]-[#7])-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:1-[#8],[O][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][C][C][C][N][C][=Branch1][C][=O][N][C@@H1][C][=Branch1][C][=O][O][C][C@H1][Branch2][Ring1][#C][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][C][C][C][C][N][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][O][C][=Branch1][C][=O][O][C][C@@H1][Branch1][#Branch2][C][=Branch1][C][=O][O][C][Ring2][Ring2][Ring1][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][C][C][C][C][N][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][O]
89,deoxyschizokinen,,1,0,0,0,0,1,0,CC(=O)NCCCNC(=O)C[C@@](C(O)=O)(O)CC(=O)NCCCN(O)C(=O)C,True,[#6]-[#6](=[#8])-[#7]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6@@](-[#6](-[#8])=[#8])(-[#8])-[#6]-[#6](=[#8])-[#7]-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])-[#6],[C][C][=Branch1][C][=O][N][C][C][C][N][C][=Branch1][C][=O][C][C@@][Branch1][=Branch1][C][Branch1][C][O][=O][Branch1][C][O][C][C][=Branch1][C][=O][N][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][C]
90,des(diserylglycyl)ferrirhodin,Apergillus ochraceous,3,0,0,1,0,0,0,OCC/C(C)=C\C(=O)N(O)CCC[C@@H](C(O)=O)NC(=O)[C@H](CCCN(O)C(=O)/C=C(C)\CCO)NC(=O)[C@@H](N)CCCN(O)C(=O)/C=C(C)\CCO,True,[#8]-[#6]-[#6]/[#6](-[#6])=[#6]\[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@@H](-[#6](-[#8])=[#8])-[#7]-[#6](=[#8])-[#6@H](-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](/[#6])-[#6]-[#6]-[#8])-[#7]-[#6](=[#8])-[#6@@H](-[#7])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](/[#6])-[#6]-[#6]-[#8],[O][C][C][/C][Branch1][C][C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][Branch1][=Branch1][C][Branch1][C][O][=O][N][C][=Branch1][C][=O][C@H1][Branch2][Ring1][Ring2][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][\C][C][O][N][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][\C][C][O]
92,desferrioxamine A1,,3,0,0,0,0,0,0,O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCN,True,[#8]=[#6](-[#6])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7],[O][=C][Branch1][C][C][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N]
