ID,Compounds,Microorganism,hydroxamate,catecholate,a-hydroxycarboxylate,carboxylate,phenolate,citrate,other,SMILES,validate smiles,SMARTS,SELFIES
93,desferrioxamine A2,,3,0,0,0,0,0,0,O=C(C)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCN,True,[#8]=[#6](-[#6])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7],[O][=C][Branch1][C][C][N][Branch1][C][O][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N]
94,desferrioxamine B,"Streptomyces pilosus, Streptomyces coelicolor",3,0,0,0,0,0,0,O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,True,[#8]=[#6](-[#6])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7],[O][=C][Branch1][C][C][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N]
95,desferrioxamine D1,,3,0,0,0,0,0,0,O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C,True,[#8]=[#6](-[#6])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6],[O][=C][Branch1][C][C][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C]
96,desferrioxamine D2,Streptomyces olivaceus,3,0,0,0,0,0,0,ON1CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O,True,[#8]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6]-1=[#8],[O][N][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][Ring2][Ring2][#Branch1][=O]
97,desferrioxamine E,"Erwinia amylovora, Pseudomonas stutzeri, Streptomyces coelicolor, Streptomyces olivaceus",3,0,0,0,0,0,0,ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O,True,[#8]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6]-1=[#8],[O][N][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][Ring2][Ring2][Branch2][=O]
98,desferrioxamine G1,"Pseudomonas stutzeri, Vibrio strain BLI-41",3,0,0,1,0,0,0,OC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,True,[#8]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7],[O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N]
99,desferrioxamine G2A,,3,0,0,1,0,0,0,OC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,True,[#8]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7],[O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N]
100,desferrioxamine G2B,,3,0,0,1,0,0,0,OC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCN,True,[#8]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7],[O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N]
101,desferrioxamine G2C,,3,0,0,1,0,0,0,OC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCN,True,[#8]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7],[O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N]
102,desferrioxamine H,,3,0,0,1,0,0,0,O=C(C)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)O,True,[#8]=[#6](-[#6])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#8],[O][=C][Branch1][C][C][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O]
103,desferrioxamine T1,,4,0,0,0,0,0,0,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1,True,[#8]=[#6]1-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-1,[O][=C][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][Ring2][Branch1][#Branch1]
104,desferrioxamine T2,,4,0,0,0,0,0,0,ON1CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC1=O,True,[#8]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6]-1=[#8],[O][N][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][Ring2][Branch1][Branch1][=O]
105,desferrioxamine T3,,4,0,0,0,0,0,0,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCN1,True,[#8]=[#6]1-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#7]-1,[O][=C][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][N][Ring2][Branch1][Branch1]
106,desferrioxamine T7,,4,0,0,0,0,0,0,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCN1,True,[#8]=[#6]1-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-1,[O][=C][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N][Ring2][Branch1][Branch1]
107,desferrioxamine T8,,4,0,0,0,0,0,0,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCNC(=O)CCC(=O)N(O)CCCNC(=O)CCC(=O)N(O)CCCN1,True,[#8]=[#6]1-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#7]-1,[O][=C][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][N][Ring2][Ring2][P]
108,desferrioxamine X1,Streptomyces olivaceus,3,0,0,0,0,0,0,ON1CCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC1=O,True,[#8]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6]-1=[#8],[O][N][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][Ring2][Ring2][=Branch1][=O]
109,desferrioxamine X2,Streptomyces olivaceus,3,0,0,0,0,0,0,ON1CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC1=O,True,[#8]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6]-1=[#8],[O][N][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][Ring2][Ring2][Branch1][=O]
110,desferrioxamine X3,Streptomyces olivaceus,3,0,0,0,0,0,0,ON1CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCCNC(=O)CCC1=O,True,[#8]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6]-1=[#8],[O][N][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][Ring2][Ring2][=Branch2][=O]
111,desferrioxamine X4,Streptomyces olivaceus,2,0,0,0,0,0,0,ON1CCCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)NCCCCCCNC(=O)CCC1=O,True,[#8]-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6](=[#8])-[#7]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#7]-[#6](=[#8])-[#6]-[#6]-[#6]-1=[#8],[O][N][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][Ring2][Ring2][=Branch2][=O]
112,desferrithiocin,Streptomyces antibioticus,0,0,0,1,0,0,1,OC(=O)[C@]1(C)N=C(SC1)c2ncccc2O,True,[#8]-[#6](=[#8])-[#6@]1(-[#6])-[#7]=[#6](-[#16]-[#6]-1)-[#6]1:[#7]:[#6]:[#6]:[#6]:[#6]:1-[#8],[O][C][=Branch1][C][=O][C@][Branch1][C][C][N][=C][Branch1][Branch1][S][C][Ring1][=Branch1][C][=N][C][=C][C][=C][Ring1][=Branch1][O]
113,dibenarthin,Streptomyces sp. YM5-799,0,2,0,1,0,0,0,c1ccc(O)c(O)c1C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@H](C(O)=O)[C@@H](C)OC(=O)[C@H]([C@H](O)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)c2c(O)c(O)ccc2,True,[#6]1:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:1-[#6](=[#8])-[#7]-[#6@@H](-[#6]-[#6]-[#6]-[#7]-[#6](-[#7])=[#7])-[#6](=[#8])-[#7]-[#6@H](-[#6](-[#8])=[#8])-[#6@@H](-[#6])-[#8]-[#6](=[#8])-[#6@H](-[#6@H](-[#8])-[#6])-[#7]-[#6](=[#8])-[#6@H](-[#6]-[#6]-[#6]-[#7]-[#6](-[#7])=[#7])-[#7]-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]:[#6]:1,[C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=N][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][Branch1][C][O][=O][C@@H1][Branch1][C][C][O][C][=Branch1][C][=O][C@H1][Branch1][=Branch1][C@H1][Branch1][C][O][C][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=N][N][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][Branch1][C][O][=C][C][=C][Ring1][Branch2]
114,dichrysobactin,Dickeya chrysanthemi,0,2,0,1,0,0,0,c1ccc(O)c(O)c1C(=O)N[C@H](CCCCN)C(=O)N[C@H](C(O)=O)COC(=O)[C@H](CO)NC(=O)[C@@H](CCCCN)NC(=O)c2c(O)c(O)ccc2,True,[#6]1:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:1-[#6](=[#8])-[#7]-[#6@H](-[#6]-[#6]-[#6]-[#6]-[#7])-[#6](=[#8])-[#7]-[#6@H](-[#6](-[#8])=[#8])-[#6]-[#8]-[#6](=[#8])-[#6@H](-[#6]-[#8])-[#7]-[#6](=[#8])-[#6@@H](-[#6]-[#6]-[#6]-[#6]-[#7])-[#7]-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]:[#6]:1,[C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][C][C][C][N][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][Branch1][C][O][=O][C][O][C][=Branch1][C][=O][C@H1][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][C][C][C][C][N][N][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][Branch1][C][O][=C][C][=C][Ring1][Branch2]
115,dimerumic acid,"Aspergillus terreus, Histoplasma capsulatum, Monascus anka, Scedosporium apiospermum",2,0,0,0,0,0,0,OCC\C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)/CCO,True,[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@H]1-[#7]-[#6](=[#8])-[#6@H](-[#7]-[#6]-1=[#8])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8],[O][C][C][\C][Branch1][C][C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][Branch1][Ring2][N][C][=O][C][=Branch1][C][=O][N][C@@H1][Ring1][=Branch1][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O]
116,dimethylcoprogen,,3,0,0,0,0,0,0,OCC/C(C)=C\C(=O)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)\CCOC(=O)[C@@H](N(C)C)CCCN(O)C(=O)/C=C(C)/CCO,True,[#8]-[#6]-[#6]/[#6](-[#6])=[#6]\[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@H]1-[#7]-[#6](=[#8])-[#6@H](-[#7]-[#6]-1=[#8])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](/[#6])-[#6]-[#6]-[#8]-[#6](=[#8])-[#6@@H](-[#7](-[#6])-[#6])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8],[O][C][C][/C][Branch1][C][C][=C][\C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][Branch1][Ring2][N][C][=O][C][=Branch1][C][=O][N][C@@H1][Ring1][=Branch1][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][\C][C][O][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O]
117,dimethylneocoprogen I,,3,0,0,0,0,0,0,O=C(C)N(O)CCC[C@@H](NC1=O)C(=O)N[C@@H]1CCCN(O)C(=O)/C=C(C)\CCOC(=O)[C@@H](N(C)C)CCCN(O)C(=O)/C=C(C)/CCO,True,[#8]=[#6](-[#6])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@H]1-[#7]-[#6](=[#8])-[#6@H](-[#7]-[#6]-1=[#8])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](/[#6])-[#6]-[#6]-[#8]-[#6](=[#8])-[#6@@H](-[#7](-[#6])-[#6])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8],[O][=C][Branch1][C][C][N][Branch1][C][O][C][C][C][C@@H1][Branch1][Ring2][N][C][=O][C][=Branch1][C][=O][N][C@@H1][Ring1][=Branch1][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][\C][C][O][C][=Branch1][C][=O][C@@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O]
118,dimethyltriornicin,,3,0,0,0,0,0,0,OCC/C(C)=C/C(=O)N(O)CCC[C@@H]1C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(C)/CCOC(=O)[C@H](N(C)C)CCCN(O)C(=O)C,True,[#8]-[#6]-[#6]/[#6](-[#6])=[#6]/[#6](=[#8])-[#7](-[#8])-[#6]-[#6]-[#6]-[#6@@H]1-[#6](=[#8])-[#7]-[#6@H](-[#6](=[#8])-[#7]-1)-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])/[#6]=[#6](\[#6])-[#6]-[#6]-[#8]-[#6](=[#8])-[#6@H](-[#7](-[#6])-[#6])-[#6]-[#6]-[#6]-[#7](-[#8])-[#6](=[#8])-[#6],[O][C][C][/C][Branch1][C][C][=C][/C][=Branch1][C][=O][N][Branch1][C][O][C][C][C][C@@H1][C][=Branch1][C][=O][N][C@H1][Branch1][Branch2][C][=Branch1][C][=O][N][Ring1][Branch2][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][/C][=C][Branch1][C][C][/C][C][O][C][=Branch1][C][=O][C@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][C][C][N][Branch1][C][O][C][=Branch1][C][=O][C]
